14:22:27,564 WARN  [http-8080-1] authentication.LoggerListener (LoggerListener.java:60) - Authentication event AuthenticationSuccessEvent: edilson; details: org.springframework.security.ui.WebAuthenticationDetails@0: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: 31E3FD52087BD7090C0237BA7FAB2074
14:22:27,569 WARN  [http-8080-1] authentication.LoggerListener (LoggerListener.java:60) - Authentication event InteractiveAuthenticationSuccessEvent: edilson; details: org.springframework.security.ui.WebAuthenticationDetails@0: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: 31E3FD52087BD7090C0237BA7FAB2074
14:24:56,389 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id210:j_id217 has not enough children. Child count should be a multiple of the columns attribute.
14:24:59,251 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id210:j_id217 has not enough children. Child count should be a multiple of the columns attribute.
14:26:11,714 WARN  [http-8080-1] authentication.LoggerListener (LoggerListener.java:60) - Authentication event AuthenticationSuccessEvent: matias; details: org.springframework.security.ui.WebAuthenticationDetails@43458: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: C02CD4B99F6C964107CCBE4A619B97D2
14:26:11,715 WARN  [http-8080-1] authentication.LoggerListener (LoggerListener.java:60) - Authentication event InteractiveAuthenticationSuccessEvent: matias; details: org.springframework.security.ui.WebAuthenticationDetails@43458: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: C02CD4B99F6C964107CCBE4A619B97D2
14:26:14,224 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id210:j_id217 has not enough children. Child count should be a multiple of the columns attribute.
14:26:16,116 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id210:j_id217 has not enough children. Child count should be a multiple of the columns attribute.
14:27:29,395 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id433:j_id440 has not enough children. Child count should be a multiple of the columns attribute.
14:49:08,306 WARN  [http-8080-1] authorization.LoggerListener (LoggerListener.java:47) - Security interception failed due to: org.springframework.security.AuthenticationCredentialsNotFoundException: An Authentication object was not found in the SecurityContext; secure object: FilterInvocation: URL: /pages/home.jsf; configuration attributes: [ROLE_ADMIN, ROLE_CHEFE_TRANSP, ROLE_COORD_TRANSP, ROLE_CHEFE_SETOR, ROLE_OPERADOR, ROLE_USER]
14:49:08,391 WARN  [http-8080-1] authorization.LoggerListener (LoggerListener.java:47) - Security interception failed due to: org.springframework.security.AuthenticationCredentialsNotFoundException: An Authentication object was not found in the SecurityContext; secure object: FilterInvocation: URL: /pages/css/estilo.css; configuration attributes: [ROLE_ADMIN, ROLE_CHEFE_TRANSP, ROLE_COORD_TRANSP, ROLE_CHEFE_SETOR, ROLE_OPERADOR, ROLE_USER]
14:49:08,429 WARN  [http-8080-2] authorization.LoggerListener (LoggerListener.java:47) - Security interception failed due to: org.springframework.security.AuthenticationCredentialsNotFoundException: An Authentication object was not found in the SecurityContext; secure object: FilterInvocation: URL: /pages/images/fortaleza-bela.gif; configuration attributes: [ROLE_ADMIN, ROLE_CHEFE_TRANSP, ROLE_COORD_TRANSP, ROLE_CHEFE_SETOR, ROLE_OPERADOR, ROLE_USER]
14:49:08,434 WARN  [http-8080-3] authorization.LoggerListener (LoggerListener.java:47) - Security interception failed due to: org.springframework.security.AuthenticationCredentialsNotFoundException: An Authentication object was not found in the SecurityContext; secure object: FilterInvocation: URL: /pages/images/seguranca.jpg; configuration attributes: [ROLE_ADMIN, ROLE_CHEFE_TRANSP, ROLE_COORD_TRANSP, ROLE_CHEFE_SETOR, ROLE_OPERADOR, ROLE_USER]
14:49:13,616 WARN  [http-8080-3] authorization.LoggerListener (LoggerListener.java:47) - Security interception failed due to: org.springframework.security.AuthenticationCredentialsNotFoundException: An Authentication object was not found in the SecurityContext; secure object: FilterInvocation: URL: /pages/j_spring_security_check; configuration attributes: [ROLE_ADMIN, ROLE_CHEFE_TRANSP, ROLE_COORD_TRANSP, ROLE_CHEFE_SETOR, ROLE_OPERADOR, ROLE_USER]
14:49:18,289 WARN  [http-8080-2] authentication.LoggerListener (LoggerListener.java:60) - Authentication event AuthenticationSuccessEvent: edilson; details: org.springframework.security.ui.WebAuthenticationDetails@fffde5d4: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: 18050C1979FAC4E14011E7D23FE343D6
14:49:18,289 WARN  [http-8080-2] authentication.LoggerListener (LoggerListener.java:60) - Authentication event InteractiveAuthenticationSuccessEvent: edilson; details: org.springframework.security.ui.WebAuthenticationDetails@fffde5d4: RemoteIpAddress: 0:0:0:0:0:0:0:1; SessionId: 18050C1979FAC4E14011E7D23FE343D6
14:49:26,391 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id210:j_id217 has not enough children. Child count should be a multiple of the columns attribute.
14:49:33,692 WARN  [http-8080-1] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id433:j_id440 has not enough children. Child count should be a multiple of the columns attribute.
14:49:39,613 WARN  [http-8080-2] html.HtmlGridRendererBase (HtmlGridRendererBase.java:243) - PanelGrid j_id433:j_id440 has not enough children. Child count should be a multiple of the columns attribute.
